date,value
31/01/1997,65.56999999999998
28/02/1997,40.86000000000001
31/03/1997,37.81
30/04/1997,44.72
31/05/1997,47.209999999999994
30/06/1997,46.269999999999996
31/07/1997,48.169999999999995
31/08/1997,52.31999999999999
30/09/1997,60.54999999999999
31/10/1997,70.7
30/11/1997,54.140000000000015
31/12/1997,51.650000000000006
31/01/1998,41.82000000000001
28/02/1998,42.349999999999994
31/03/1998,49.31999999999999
30/04/1998,50.980000000000004
31/05/1998,42.82
30/06/1998,47.68
31/07/1998,47.68000000000001
31/08/1998,38.87999999999999
30/09/1998,42.37
31/10/1998,42.07000000000001
30/11/1998,40.33000000000001
31/12/1998,37.88000000000001
31/01/1999,35.14
28/02/1999,33.65
31/03/1999,41.209999999999994
30/04/1999,45.15
31/05/1999,45.2
30/06/1999,50.69
31/07/1999,48.449999999999996
31/08/1999,61.480000000000004
30/09/1999,53.47
31/10/1999,57.28999999999999
30/11/1999,47.34
31/12/1999,49.459999999999994
31/01/2000,46.00999999999999
29/02/2000,53.18999999999999
31/03/2000,61.449999999999996
30/04/2000,57.78999999999999
31/05/2000,78.91
30/06/2000,94.43
31/07/2000,79.80000000000001
31/08/2000,101.88000000000001
30/09/2000,101.12
31/10/2000,110.49000000000002
30/11/2000,110.49000000000001
31/12/2000,178.0
31/01/2001,171.63000000000002
28/02/2001,106.51999999999998
31/03/2001,115.06999999999998
30/04/2001,103.84000000000002
31/05/2001,92.21000000000001
30/06/2001,78.13
31/07/2001,65.29
31/08/2001,68.26000000000002
30/09/2001,41.63999999999999
31/10/2001,56.6
30/11/2001,46.84999999999998
31/12/2001,43.73999999999998
31/01/2002,48.67000000000001
28/02/2002,44.150000000000006
31/03/2002,60.57000000000001
30/04/2002,75.38999999999999
31/05/2002,76.96000000000001
30/06/2002,65.22999999999999
31/07/2002,62.730000000000004
31/08/2002,67.93
30/09/2002,70.98
31/10/2002,94.91
30/11/2002,76.82000000000001
31/12/2002,99.56000000000002
31/01/2003,114.08
28/02/2003,146.45
31/03/2003,124.60000000000001
30/04/2003,110.52999999999999
31/05/2003,122.09000000000002
30/06/2003,122.18999999999998
31/07/2003,110.58000000000001
31/08/2003,104.68
30/09/2003,97.02999999999997
31/10/2003,106.42000000000004
30/11/2003,80.46000000000001
31/12/2003,128.68
31/01/2004,116.64000000000001
29/02/2004,102.00999999999998
31/03/2004,124.05999999999996
30/04/2004,119.89
31/05/2004,126.67000000000003
30/06/2004,131.67999999999998
31/07/2004,124.56
